ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Age Wise Wise,RPO Shimla,Between_18_to_35,690,2739,30485,29:09.8
Applications - Age Wise Wise,RPO Shimla,Between_36_to_60,247,1034,12208,29:09.8
Applications - Age Wise Wise,RPO Shimla,GreaterThan60,47,225,2417,29:09.8
Applications - Age Wise Wise,RPO Shimla,LessThan18,118,344,3521,29:09.8
Application Fee Online Payment - Mode Wise,RPO Shimla,Challan,9000,54250,723250,29:09.8
Application Fee Online Payment - Mode Wise,RPO Shimla,Credit/ Debit Card,1022300,4070100,43098850,29:09.8
Application Fee Online Payment - Mode Wise,RPO Shimla,Online,405400,1586100,20020650,29:09.8
Applications Received - Service Wise,RPO Shimla,FRESH,795,3043,34929,29:09.8
Applications Received - Service Wise,RPO Shimla,PCC,50,251,2203,29:09.8
Applications Received - Service Wise,RPO Shimla,REISSUE,255,1047,11494,29:09.8
Applications Granted - PV Mode wise,RPO Shimla,No Verification,45,183,1618,29:09.8
Applications Granted - PV Mode wise,RPO Shimla,Post Verification,92,395,4441,29:09.8
Applications Granted - PV Mode wise,RPO Shimla,Pre Verification,724,2692,28663,29:09.8
PV Processing Time,RPO Shimla,More than 21 Days,61,401,3899,29:09.8
PV Processing Time,RPO Shimla,Within 21 Days,775,3198,38222,29:09.8
Applications Received - Scheme wise,RPO Srinagar,Normal,1290,4581,58101,29:09.8
Applications Received - Gender wise,RPO Srinagar,FEMALE,514,1887,22204,29:09.8
Applications Received - Gender wise,RPO Srinagar,MALE,776,2694,35689,29:09.8
Applications with Aadhaar Number,RPO Srinagar,Count of Applications,1290,4581,57893,29:09.8
Applications - Education Wise,RPO Srinagar,10TH PASS AND ABOVE,361,1268,17532,29:09.8
Applications - Education Wise,RPO Srinagar,GRADUATE AND ABOVE,309,1239,10662,29:09.8
Applications - Age Wise Wise,RPO Srinagar,Between_18_to_35,427,1591,22525,29:09.8
Applications - Age Wise Wise,RPO Srinagar,Between_36_to_60,457,1563,21036,29:09.8
Applications - Age Wise Wise,RPO Srinagar,GreaterThan60,219,789,9170,29:09.8
Applications - Age Wise Wise,RPO Srinagar,LessThan18,187,638,5162,29:09.8
Application Fee Online Payment - Mode Wise,RPO Srinagar,Challan,109950,484500,2227700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Srinagar,Credit/ Debit Card,753450,3603600,43186750,29:09.8
Application Fee Online Payment - Mode Wise,RPO Srinagar,Online,129600,906200,16260650,29:09.8
Applications Received - Service Wise,RPO Srinagar,FRESH,939,3117,47723,29:09.8
Applications Received - Service Wise,RPO Srinagar,REISSUE,338,1417,9728,29:09.8
Applications Granted - PV Mode wise,RPO Srinagar,Pre Verification,1159,4008,37443,29:09.8
PV Processing Time,RPO Srinagar,More than 21 Days,685,3026,61003,29:09.8
PV Processing Time,RPO Srinagar,Within 21 Days,81,117,928,29:09.8
Applications Received - Scheme wise,RPO Surat,Normal,1671,13444,149428,29:09.8
Applications Received - Scheme wise,RPO Surat,Tatkaal,36,263,3297,29:09.8
Applications Received - Gender wise,RPO Surat,FEMALE,633,5407,59375,29:09.8
Applications Received - Gender wise,RPO Surat,MALE,1074,8300,93320,29:09.8
Applications with Aadhaar Number,RPO Surat,Count of Applications,1707,13707,152699,29:09.8
Applications - Education Wise,RPO Surat,10TH PASS AND ABOVE,682,5537,63660,29:09.8
Applications - Education Wise,RPO Surat,GRADUATE AND ABOVE,462,2943,34909,29:09.8
Applications - Age Wise Wise,RPO Surat,Between_18_to_35,816,6120,70735,29:09.8
Applications - Age Wise Wise,RPO Surat,Between_36_to_60,502,4171,46429,29:09.8
Applications - Age Wise Wise,RPO Surat,GreaterThan60,97,950,9817,29:09.8
Applications - Age Wise Wise,RPO Surat,LessThan18,292,2466,25718,29:09.8
Application Fee Online Payment - Mode Wise,RPO Surat,Challan,45400,606450,10139100,29:09.8
Application Fee Online Payment - Mode Wise,RPO Surat,Credit/ Debit Card,1469100,10504450,123203550,29:09.8
Application Fee Online Payment - Mode Wise,RPO Surat,Online,483800,4147800,51573550,29:09.8
Applications Received - Service Wise,RPO Surat,FRESH,962,7950,91980,29:09.8
Applications Received - Service Wise,RPO Surat,PCC,223,968,9041,29:09.8
Applications Received - Service Wise,RPO Surat,REISSUE,522,4786,51642,29:09.8
Applications Granted - PV Mode wise,RPO Surat,No Verification,439,2534,22591,29:09.8
Applications Granted - PV Mode wise,RPO Surat,Post Verification,74,1191,17610,29:09.8
Applications Granted - PV Mode wise,RPO Surat,Pre Verification,944,9649,111886,29:09.8
PV Processing Time,RPO Surat,Within 21 Days,2049,11551,116710,29:09.8
Applications Received - Scheme wise,RPO Trichy,Normal,4588,12586,116878,03:38.8
Applications Received - Gender wise,RPO Trichy,FEMALE,1066,2982,29852,03:38.8
Applications Received - Gender wise,RPO Trichy,MALE,3525,10343,88569,03:38.8
Applications with Aadhaar Number,RPO Trichy,Count of Applications,4591,13325,118421,03:38.8
Applications - Education Wise,RPO Trichy,10TH PASS AND ABOVE,1560,4564,38900,03:38.8
Applications - Education Wise,RPO Trichy,5TH PASS OR LESS,680,2016,20356,03:38.8
Applications - Education Wise,RPO Trichy,BETWEEN 6TH AND 9TH STANDARD,1125,3045,30534,03:38.8
Applications - Education Wise,RPO Trichy,GRADUATE AND ABOVE,1226,3699,28594,03:38.8
Applications - Age Wise Wise,RPO Trichy,Between_18_to_35,2904,8560,71745,03:38.8
Applications - Age Wise Wise,RPO Trichy,Between_36_to_60,1115,3098,30094,03:38.8
Applications - Age Wise Wise,RPO Trichy,GreaterThan60,156,460,4786,03:38.8
Applications - Age Wise Wise,RPO Trichy,LessThan18,416,1207,11796,03:38.8
Application Fee Online Payment - Mode Wise,RPO Trichy,Challan,234000,802500,8931500,03:38.8
Application Fee Online Payment - Mode Wise,RPO Trichy,Credit/ Debit Card,2245500,7437000,64176500,03:38.8
Application Fee Online Payment - Mode Wise,RPO Trichy,Online,3529000,11228000,95205500,03:38.8
Applications Received - Service Wise,RPO Trichy,FRESH,2889,8071,70047,03:38.8
Applications Received - Service Wise,RPO Trichy,PCC,175,470,5376,03:38.8
Applications Received - Service Wise,RPO Trichy,REISSUE,1527,4051,41563,03:38.8
Applications Granted - PV Mode wise,RPO Trichy,No Verification,1281,3544,36577,03:38.8
Applications Granted - PV Mode wise,RPO Trichy,Post Verification,319,1011,8334,03:38.8
Applications Granted - PV Mode wise,RPO Trichy,Pre Verification,2960,8524,71306,03:38.8
PV Processing Time,RPO Trichy,More than 21 Days,1477,4571,48321,03:38.8
PV Processing Time,RPO Trichy,Within 21 Days,1167,4945,27107,03:38.8
Applications Received - Scheme wise,RPO Trivandrum,Normal,4054,19142,181543,29:09.8
Applications Received - Scheme wise,RPO Trivandrum,Tatkaal,117,626,5366,29:09.8
Applications Received - Gender wise,RPO Trivandrum,FEMALE,1685,8026,77738,29:09.8
Applications Received - Gender wise,RPO Trivandrum,MALE,2486,11738,109143,29:09.8
Applications with Aadhaar Number,RPO Trivandrum,Count of Applications,4171,19764,186882,29:09.8
Applications - Education Wise,RPO Trivandrum,10TH PASS AND ABOVE,1961,9593,89629,29:09.8
Applications - Education Wise,RPO Trivandrum,GRADUATE AND ABOVE,903,4112,40153,29:09.8
Applications - Age Wise Wise,RPO Trivandrum,Between_18_to_35,2051,9709,91386,29:09.8
Applications - Age Wise Wise,RPO Trivandrum,Between_36_to_60,1202,5603,51749,29:09.8
Applications - Age Wise Wise,RPO Trivandrum,GreaterThan60,267,1331,13040,29:09.8
Applications - Age Wise Wise,RPO Trivandrum,LessThan18,651,3121,30707,29:09.8
Application Fee Online Payment - Mode Wise,RPO Trivandrum,Challan,54800,214550,2862200,29:09.8
Application Fee Online Payment - Mode Wise,RPO Trivandrum,Credit/ Debit Card,1868200,8554000,77119950,29:09.8
Application Fee Online Payment - Mode Wise,RPO Trivandrum,Online,3162750,15082900,149268800,29:09.8
Applications Received - Service Wise,RPO Trivandrum,FRESH,2094,10054,94941,29:09.8
Applications Received - Service Wise,RPO Trivandrum,PCC,357,1665,15197,29:09.8
Applications Received - Service Wise,RPO Trivandrum,REISSUE,1720,8044,76719,29:09.8
Applications Granted - PV Mode wise,RPO Trivandrum,No Verification,539,2898,31276,29:09.8
Applications Granted - PV Mode wise,RPO Trivandrum,Post Verification,1328,5992,55357,29:09.8
Applications Granted - PV Mode wise,RPO Trivandrum,Pre Verification,2128,10112,93889,29:09.8
PV Processing Time,RPO Trivandrum,Within 21 Days,2447,10484,97339,29:09.8
Applications Received - Scheme wise,RPO Visakhapatnam,Normal,256,11519,130919,29:09.8
Applications Received - Scheme wise,RPO Visakhapatnam,Tatkaal,37,158,1934,29:09.8
Applications Received - Gender wise,RPO Visakhapatnam,FEMALE,924,4098,47863,29:09.8
Applications Received - Gender wise,RPO Visakhapatnam,MALE,678,7577,84974,29:09.8
Applications with Aadhaar Number,RPO Visakhapatnam,Count of Applications,250,11675,132837,29:09.8
Applications - Education Wise,RPO Visakhapatnam,10TH PASS AND ABOVE,901,4370,55568,29:09.8
Applications - Education Wise,RPO Visakhapatnam,GRADUATE AND ABOVE,816,3583,37735,29:09.8
Applications - Age Wise Wise,RPO Visakhapatnam,Between_18_to_35,454,6669,79714,29:09.8
Applications - Age Wise Wise,RPO Visakhapatnam,Between_36_to_60,814,3447,36661,29:09.8
Applications - Age Wise Wise,RPO Visakhapatnam,GreaterThan60,121,626,6923,29:09.8
Applications - Age Wise Wise,RPO Visakhapatnam,LessThan18,213,933,9539,29:09.8
Application Fee Online Payment - Mode Wise,RPO Visakhapatnam,Challan,850,71550,677700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Visakhapatnam,Credit/ Debit Card,1505,7361200,85145700,29:09.8
Application Fee Online Payment - Mode Wise,RPO Visakhapatnam,Online,600,7615750,93226100,29:09.8
Applications Received - Service Wise,RPO Visakhapatnam,FRESH,733,8000,95664,29:09.8
Applications Received - Service Wise,RPO Visakhapatnam,PCC,183,561,4593,29:09.8
Applications Received - Service Wise,RPO Visakhapatnam,REISSUE,686,3102,32498,29:09.8
Applications Granted - PV Mode wise,RPO Visakhapatnam,No Verification,565,2038,20340,29:09.8
Applications Granted - PV Mode wise,RPO Visakhapatnam,Post Verification,129,726,9360,29:09.8
Applications Granted - PV Mode wise,RPO Visakhapatnam,Pre Verification,1785,7793,90417,29:09.8
