ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
Applications - Education Wise,RPO Chennai,GRADUATE AND ABOVE,4432,17237,176264,29:09.8
Applications - Age Wise Wise,RPO Chennai,Between_18_to_35,4443,18767,203874,29:09.8
Applications - Age Wise Wise,RPO Chennai,Between_36_to_60,3478,12887,120555,29:09.8
Applications - Age Wise Wise,RPO Chennai,GreaterThan60,553,2765,31142,29:09.8
Applications - Age Wise Wise,RPO Chennai,LessThan18,2169,7078,62243,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chennai,Challan,50000,334700,4779000,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chennai,Credit/ Debit Card,8776700,36328750,294487450,29:09.8
Application Fee Online Payment - Mode Wise,RPO Chennai,Online,2429700,11416750,131722650,29:09.8
Applications Received - Service Wise,RPO Chennai,FRESH,7073,25365,244894,29:09.8
Applications Received - Service Wise,RPO Chennai,PCC,368,1808,18557,29:09.8
Applications Received - Service Wise,RPO Chennai,REISSUE,3192,14292,154043,29:09.8
Applications Granted - PV Mode wise,RPO Chennai,No Verification,1316,6197,69329,29:09.8
Applications Granted - PV Mode wise,RPO Chennai,Post Verification,1385,6235,68535,29:09.8
Applications Granted - PV Mode wise,RPO Chennai,Pre Verification,5961,21902,220235,29:09.8
PV Processing Time,RPO Chennai,More than 21 Days,50,302,4526,29:09.8
PV Processing Time,RPO Chennai,Within 21 Days,6499,24334,263251,29:09.8
Applications Received - Scheme wise,RPO Cochin,Normal,9526,44951,424279,29:09.8
Applications Received - Scheme wise,RPO Cochin,Tatkaal,466,2277,22180,29:09.8
Applications Received - Gender wise,RPO Cochin,FEMALE,4527,20414,195651,29:09.8
Applications Received - Gender wise,RPO Cochin,MALE,5465,26806,250732,29:09.8
Applications with Aadhaar Number,RPO Cochin,Count of Applications,9992,47220,446383,29:09.8
Applications - Education Wise,RPO Cochin,10TH PASS AND ABOVE,4384,21436,201585,29:09.8
Applications - Education Wise,RPO Cochin,GRADUATE AND ABOVE,2527,11212,108253,29:09.8
Applications - Age Wise Wise,RPO Cochin,Between_18_to_35,4837,22907,215885,29:09.8
Applications - Age Wise Wise,RPO Cochin,Between_36_to_60,2781,12966,118662,29:09.8
Applications - Age Wise Wise,RPO Cochin,GreaterThan60,799,3822,36178,29:09.8
Applications - Age Wise Wise,RPO Cochin,LessThan18,1575,7525,75658,29:09.8
Application Fee Online Payment - Mode Wise,RPO Cochin,Challan,158100,867300,7707850,29:09.8
Application Fee Online Payment - Mode Wise,RPO Cochin,Credit/ Debit Card,4976100,24274950,209132900,29:09.8
Application Fee Online Payment - Mode Wise,RPO Cochin,Online,6804650,31077050,312195900,29:09.8
Applications Received - Service Wise,RPO Cochin,FRESH,5106,24376,230486,29:09.8
Applications Received - Service Wise,RPO Cochin,PCC,1025,4467,39308,29:09.8
Applications Received - Service Wise,RPO Cochin,REISSUE,3859,18371,176519,29:09.8
Applications Granted - PV Mode wise,RPO Cochin,No Verification,2341,10941,107520,29:09.8
Applications Granted - PV Mode wise,RPO Cochin,Post Verification,2124,10216,92496,29:09.8
Applications Granted - PV Mode wise,RPO Cochin,Pre Verification,5133,24614,227686,29:09.8
PV Processing Time,RPO Cochin,Within 21 Days,5750,25366,238027,29:09.8
